organ,organ_id,ftu_label,ftu_id,ftu_part_svg_ct_label,ftu_part_label,ftu_part_id,ftu_part_svg_label,as_count,ct_count
Skin of Body,UBERON:0002097,Dermal Papilla,UBERON:0000412,Endothelial cell,endothelial cell,CL:0000115,Blood Vessel,0,7
Skin of Body,UBERON:0002097,Epidermal Ridge of Digit,UBERON:0013487,Keratinocytes (Spinous),prickle cell,CL:0000649,Prickle Cell,0,104
Skin of Body,UBERON:0002097,Epidermal Ridge of Digit,UBERON:0013487,Langerhans cell,epidermal Langerhans cell,CL:0002457,Epidermal Langerhans Cell,0,3
Skin of Body,UBERON:0002097,Epidermal Ridge of Digit,UBERON:0013487,Keratinocyte (Basal),basal cell,CL:0000646,Basal Cell,0,35
Skin of Body,UBERON:0002097,Epidermal Ridge of Digit,UBERON:0013487,Merkel cell,Merkel cell,CL:0000242,Merkel Cell,0,2
Skin of Body,UBERON:0002097,Epidermal Ridge of Digit,UBERON:0013487,Melanocyte,melanocyte of skin,CL:1000458,Melanocyte,0,4
Small Intestine,UBERON:0002108,Intestinal Villus,UBERON:0001213,natural killer (NK) cell,natural killer cell,CL:0000623,Natural Killer Cell,0,4
Small Intestine,UBERON:0002108,Intestinal Villus,UBERON:0001213,fibroblasts,fibroblast,CL:0000057,Fibroblast,0,18
Small Intestine,UBERON:0002108,Intestinal Villus,UBERON:0001213,Tuft cells,tuft cell of small intestine,CL:0009080,Tuft Cell,0,18
Small Intestine,UBERON:0002108,Intestinal Villus,UBERON:0001213,enterocytes,enterocyte,CL:0000584,Enterocyte,0,305
Small Intestine,UBERON:0002108,Intestinal Villus,UBERON:0001213,mast cells,mast cell,CL:0000097,Mast Cell,0,3
Small Intestine,UBERON:0002108,Intestinal Villus,UBERON:0001213,goblet cell,duodenal goblet cell,CL:1000324,Goblet Cell,0,16
Small Intestine,UBERON:0002108,Intestinal Villus,UBERON:0001213,myofibroblast,myofibroblast,CL:0000186,Myofibroblast,0,79
Small Intestine,UBERON:0002108,Intestinal Villus,UBERON:0001213,plasma,plasma cell,CL:0000786,Plasma Cell,0,9
Small Intestine,UBERON:0002108,Intestinal Villus,UBERON:0001213,dendritic cell (DC),dendritic cell,CL:0000451,Dendritic Cell,0,12
Small Intestine,UBERON:0002108,Intestinal Villus,UBERON:0001213,B cell,B cell,CL:0000236,B Cell,0,160
Small Intestine,UBERON:0002108,Intestinal Villus,UBERON:0001213,eosinophils,eosinophil,CL:0000771,Eosinophil,0,4
Small Intestine,UBERON:0002108,Intestinal Villus,UBERON:0001213,ILCs,innate lymphoid cell,CL:0001065,Innate Lymphoid Cell,0,26
Small Intestine,UBERON:0002108,Intestinal Villus,UBERON:0001213,endocrine,endocrine cell,CL:0000163,Endocrine Cell,0,2
Small Intestine,UBERON:0002108,Intestinal Villus,UBERON:0001213,neutrophils,neutrophil,CL:0000775,Neutrophil,0,4
Spleen,UBERON:0002106,Red Pulp of Spleen,UBERON:0001250,Monocytes,"CD14-positive, CD16-low monocyte",CL:0001055,CD14 Positive,0,5
Spleen,UBERON:0002106,Red Pulp of Spleen,UBERON:0001250,Follicular Dendritic Cell (FDC),follicular dendritic cell,CL:0000442,Follicular Dendritic Cell,0,7
Spleen,UBERON:0002106,Red Pulp of Spleen,UBERON:0001250,Plasmablast,plasmablast,CL:0000980,plasmablast,0,3
Spleen,UBERON:0002106,Red Pulp of Spleen,UBERON:0001250,,neutrophil,CL:0000775,Neutrophil,0,5
Spleen,UBERON:0002106,Red Pulp of Spleen,UBERON:0001250,Tingible Body Macrophage,splenic tingible body macrophage,CL:0000877,Splenic Tingible Body Macrophage,0,6
Spleen,UBERON:0002106,Red Pulp of Spleen,UBERON:0001250,,splenic marginal zone macrophage,CL:0000872,Splenic Marginal Zone Macrophage,0,2
Spleen,UBERON:0002106,Red Pulp of Spleen,UBERON:0001250,Macrophage,splenic red pulp macrophage,CL:0000874,Splenic Red Pulp Macrophage,0,12
Spleen,UBERON:0002106,Red Pulp of Spleen,UBERON:0001250,Dendritic Cell,"dendritic cell, human",CL:0001056,Dendritic Cell,0,8
Spleen,UBERON:0002106,Red Pulp of Spleen,UBERON:0001250,Hematopoetic Stem Cell,hematopoetic stem cell,CL:0000037,Hematopoetic Stem Cell,0,9
Spleen,UBERON:0002106,Red Pulp of Spleen,UBERON:0001250,,reticular cell of splenic sinusoid,,Reticular Cell Of Splenic Sinusoid,0,31
Spleen,UBERON:0002106,White Pulp of Spleen,UBERON:0001959,Macrophage,splenic white pulp macrophage,CL:0000876,Splenic Marginal Zone Macrophage,0,19
Spleen,UBERON:0002106,White Pulp of Spleen,UBERON:0001959,,,,T Cells Outer Pals,0,94
Spleen,UBERON:0002106,White Pulp of Spleen,UBERON:0001959,,,,T Cells Inner Pals,0,385
Spleen,UBERON:0002106,White Pulp of Spleen,UBERON:0001959,,smooth muscle cell,CL:0000192,Smooth Muscle Cell,0,11
Spleen,UBERON:0002106,White Pulp of Spleen,UBERON:0001959,Splenic endothelial cell,splenic endothelial cell,CL:2000053,Splenic Endothelial Cell,0,21
Spleen,UBERON:0002106,White Pulp of Spleen,UBERON:0001959,Splenic Stromal Cell (non-FRC/non-FDC),stromal cell,CL:0000499,Stromal Cell,0,6
Spleen,UBERON:0002106,White Pulp of Spleen,UBERON:0001959,Red Pulp Reticular Cell,reticular cell of splenic cord,CL:1000489,Reticular Cell Of Splenic Cord,0,7
Spleen,UBERON:0002106,White Pulp of Spleen,UBERON:0001959,Monocytes,"CD14-positive, CD16-low monocyte",CL:0001055,CD14 Positive,0,2
Spleen,UBERON:0002106,White Pulp of Spleen,UBERON:0001959,Follicular Dendritic Cell (FDC),follicular dendritic cell,CL:0000442,Follicular Dendritic Cell,0,7
Spleen,UBERON:0002106,White Pulp of Spleen,UBERON:0001959,Plasmablast,plasmablast,CL:0000980,Plasmablast,0,3
Spleen,UBERON:0002106,White Pulp of Spleen,UBERON:0001959,,neutrophil,CL:0000775,Neutrophil,0,3
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,double positive thymocyte,"double-positive, alpha-beta thymocyte",CL:0000809,Double Positive Alpha Beta Thymocyte,0,170
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,,thymus subcapsular epithelium,UBERON:0006936,Subcapsular Thymocytes,92,0
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,plasmacytoid dendritic cell,thymic plasmacytoid dendritic cell,CL:0000942,Thymic Plasmacytoid Dendritic Cell,0,5
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,blood endothelial cell,blood vessel endothelial cell,CL:0000071,Blood Vessel Endothelial Cell,0,15
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,macrophage,thymic cortical macrophage,CL:0000883,Thymic Cortical Macrophage,0,4
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,subcapsular cortical epithelial cell,subcapsular cortical epithelial cell,CL:0009077,Subcapsular Cortical Epithelial Cell,0,11
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,beige adipocyte,beige adipocyte,CL:0001070,Beige Adipocyte,0,2
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,,T cell,CL:0000084,T Cells,0,29
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,,,,Medullary Thymocytes,0,123
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,medullary thymic epithelial cell type 1,medullary thymic epithelial cell type 1,CL:0009071,Medullary Thymic Epithelial Cell,0,16
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,,Hassall's corpuscle,UBERON:0003987,Hassalls Corpuscle,1,0
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,,memory B cell,CL:0000787,B Cell,0,8
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,corticomedullary thymic epithelial cell,corticomedullary thymic epithelial cell,CL:0009070,Corticomedullary Thymic Epithelial Cell,0,45
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,,leukocyte,CL:0000738,White Blood Cell,0,10
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,macrophage,thymic medullary macrophage,CL:0000882,Thymic Medullary Macrophage,0,4
Thymus,UBERON:0002370,Thymus Lobule,UBERON:0002125,naive B cell,naive B cell,CL:0000788,B Cell,0,8
Skin of Body,UBERON:0002097,Hair follicle,UBERON:0002073,Epithelium,,,Epithelium,,1
Skin of Body,UBERON:0002097,Hair follicle,UBERON:0002073,Cuticle of Hair,cuticle of hair,UBERON:0002076,Cuticle of Hair,1,0
Skin of Body,UBERON:0002097,Hair follicle,UBERON:0002073,Cortex of Hair,cortex of hair,UBERON:0002077,Cortex of Hair,1,0
Skin of Body,UBERON:0002097,Hair follicle,UBERON:0002073,Hair medulla,hair medulla,UBERON:0005184,Hair medulla,1,0
Skin of Body,UBERON:0002097,Hair follicle,UBERON:0002073,Sebum secreting cell,sebum secreting cell,CL:0000317,Sebum secreting cell,0,194
Skin of Body,UBERON:0002097,Hair follicle,UBERON:0002073,Myoepithelial cell of sweat gland,myoepithelial cell of sweat gland,CL:1000417,Myoepithelial cell of sweat gland,0,59
Skin of Body,UBERON:0002097,Hair follicle,UBERON:0002073,Arrector pili muscle cell of vibrisa,arrector muscle of hair,UBERON:0002033,Arrector pili muscle cell of vibrisa,41,0
Skin of Body,UBERON:0002097,Hair follicle,UBERON:0002073,Keratenocyte stem cell,keratinocyte stem cell,CL:0002337,Keratenocyte stem cell,0,55
Skin of Body,UBERON:0002097,Hair follicle,UBERON:0002073,hair outer root sheath,hair outer root sheath,UBERON:0005942,hair outer root sheath,1,0
Skin of Body,UBERON:0002097,Hair follicle,UBERON:0002073,Hair inner root sheath,hair inner root sheath,UBERON:0005941,Hair inner root sheath,1,0
Skin of Body,UBERON:0002097,Hair follicle,UBERON:0002073,Hair germinal matrix cell,hair germinal matrix cell,CL:0002562,Hair germinal matrix cell,0,85
Skin of Body,UBERON:0002097,Hair follicle,UBERON:0002073,Hair follicle melanocyte,hair follicle melanocyte,CL:0002483,Hair follicle melanocyte,0,13
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,adipocyte,adipocyte,CL:0000136,Adipocyte,0,1
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,basal ductal cell,basal ductal cell,,Basal_Ductal_Cell,0,5
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,dendritic cell,dendritic cell,CL:0000451,Dendritic_Cell,0,1
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,endothelial cell,endothelial cell,CL:0000115,Endothelial_Cell,0,3
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,excretory duct epithelial cell,excretory duct epithelial cell,,Excretor_Ductal_Epithelial_Cell,0,8
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,helper T,helper T,,Helper_T_Cell,0,4
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,IgA secreting plasma cell,IgA secreting plasma cell,CL:0000987,IgA_Secreting_Plasma_Cell,0,13
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,intercalated duct epithelial cell,intercalated duct epithelial cell,CL:4052048,Intercalated_Duct_Epithelial_Cell,0,59
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,ionocyte,ionocyte,,Ionocyte,0,3
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,macrophage,macrophage,CL:0000235,Macrophage,0,1
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,mast cell,mast cell,CL:0000097,Mast_Cell,0,1
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,myoepithelial cell,myoepithelial cell,,Myoepithelial_cell,0,44
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,periacinar fibroblast,periacinar fibroblast,,Periacinar_Fibroblast,0,21
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,pericyte,pericyte,CL:0000669,Pericyte,0,3
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,periductal fibroblast,periductal fibroblast,,Periductal_Fibroblast,0,35
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,serous acinar cell,serous acinar cell,,Serous_Acinar_Cell,0,36
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,smooth muscle cell,smooth muscle cell,CL:0000192,Smooth_Muscle_ Cell,0,6
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,striated duct epithelial cell,striated duct epithelial cell,CL:4052049,Straited_Ductal_Epithelial_Cell,0,27
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,tuft cell,tuft cell,,Tuft_Cell,0,1
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,demilune acinar cell,demilune acinar cell,,Demilune_Acinar_Cell,0,12
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,dendritic cell,dendritic cell,CL:0000451,Dendritic_Cell,0,1
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,endothelial cell,endothelial cell,CL:0000115,Endothelial_Cell,0,3
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,helper T,helper T,,Helper_T_Cell,0,4
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,IgA secreting plasma cell,IgA secreting plasma cell,CL:0000987,IgA_Secreting_Plasma_Cell,0,13
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,intercalated duct epithelial cell,intercalated duct epithelial cell,CL:4052048,Intercalated_Duct_Epithelial_Cell,0,102
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,ionocyte,ionocyte,,Ionocyte,0,3
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,macrophage,macrophage,CL:0000235,Macrophage,0,1
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,mast cell,mast cell,CL:0000097,Mast_Cell,0,1
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,mucous acinar cell,mucous acinar cell,,Mucous_Acinar_Cell,0,32
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,myoepithelial cell,myoepithelial cell,,Myoepithelial_cell,0,44
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,periacinar fibroblast,periacinar fibroblast,,Periacinar_Fibroblast,0,21
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,pericyte,pericyte,CL:0000669,Pericyte,0,3
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,periductal fibroblast,periductal fibroblast,,Periductal_Fibroblast,0,35
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,seromucosal acinar cell,seromucosal acinar cell,,Seromucosal_Acinar_Cell,0,5
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,smooth muscle cell,smooth muscle cell,CL:0000192,Smooth_Muscle_ Cell,0,6
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,basal ductal cell,basal ductal cell,,Basal_Ductal_Cell,0,5
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,demilune acinar cell,demilune acinar cell,,Demilune_Acinar_Cell,0,12
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,dendritic cell,dendritic cell,CL:0000451,Dendritic_Cell,0,1
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,endothelial cell,endothelial cell,CL:0000115,Endothelial_Cell,0,3
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,excretory duct epithelial cell,excretory duct epithelial cell,,Excretor_Ductal_Epithelial_Cell,0,8
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,helper T,helper T,,Helper_T_Cell,0,4
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,IgA secreting plasma cell,IgA secreting plasma cell,CL:0000987,IgA_Secreting_Plasma_Cell,0,13
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,intercalated duct epithelial cell,intercalated duct epithelial cell,CL:4052048,Intercalated_Duct_Epithelial_Cell,0,59
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,ionocyte,ionocyte,,Ionocyte,0,3
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,macrophage,macrophage,CL:0000235,Macrophage,0,1
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,mast cell,mast cell,CL:0000097,Mast_Cell,0,1
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,mucous acinar cell,mucous acinar cell,,mucous acinar cell,0,32
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,myoepithelial cell,myoepithelial cell,,Myoepithelial_cell,0,44
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,periacinar fibroblast,periacinar fibroblast,,Periacinar_Fibroblast,0,21
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,pericyte,pericyte,CL:0000669,Pericyte,0,3
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,periductal fibroblast,periductal fibroblast,,Periductal_Fibroblast,0,35
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,seromucosal acinar cell,seromucosal acinar cell,,seromucosal acinar cell,0,5
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,smooth muscle cell,smooth muscle cell,CL:0000192,Smooth_Muscle_ Cell,0,6
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,striated duct epithelial cell,striated duct epithelial cell,CL:4052049,Straited_Ductal_Epithelial_Cell,0,27
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,tuft cell,tuft cell,,Tuft_Cell,0,1
